,hh_id,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,weighted_sum,multi_poor,ind_id_count
222,1108,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
223,1109,0.0,0.0,0.0,0.0,0,0,1,1.0,1,0,0.1666666666666666,0.0,6
224,1110,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.0555555555555555,0.0,5
225,1111,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
226,1112,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,6
227,1113,0.0,0.0,0.0,0.0,0,0,1,1.0,1,0,0.1666666666666666,0.0,5
229,1115,0.0,0.0,0.0,0.0,0,1,0,1.0,0,0,0.1111111111111111,0.0,3
230,1116,0.0,0.0,0.0,0.0,0,0,1,0.0,1,0,0.1111111111111111,0.0,7
231,1117,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,10
232,1118,0.0,0.0,0.0,0.0,0,1,1,0.0,0,0,0.1111111111111111,0.0,6
233,1119,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,2
234,1120,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
235,1121,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
236,1122,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.0555555555555555,0.0,4
237,1123,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,10
238,1124,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
239,1201,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0,0.1111111111111111,0.0,4
240,1202,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
241,1203,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
242,1204,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0,0.1111111111111111,0.0,3
243,1205,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0.0555555555555555,0.0,4
244,1206,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
245,1207,0.0,0.0,1.0,0.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,3
246,1208,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
247,1209,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
248,1210,0.0,0.0,0.0,0.0,0,0,1,0.0,1,0,0.1111111111111111,0.0,6
249,1211,0.0,0.0,0.0,0.0,0,0,1,0.0,1,0,0.1111111111111111,0.0,3
250,1212,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
251,1213,0.0,1.0,0.0,0.0,0,0,1,0.0,0,0,0.2222222222222222,0.0,4
252,1214,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0.0555555555555555,0.0,2
253,1215,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0.0555555555555555,0.0,7
254,1216,1.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0.2222222222222222,0.0,6
255,1217,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.0555555555555555,0.0,7
256,1218,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
257,1219,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,7
258,1220,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
259,1221,0.0,1.0,0.0,0.0,0,0,1,0.0,0,0,0.2222222222222222,0.0,3
260,1222,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.0555555555555555,0.0,6
261,1223,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
262,1224,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
263,1225,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0.0555555555555555,0.0,6
264,1301,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
265,1302,0.0,0.0,1.0,0.0,0,0,1,0.0,1,0,0.2777777777777778,0.0,6
266,1303,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
268,1305,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,6
270,1307,0.0,0.0,0.0,0.0,0,1,0,1.0,0,0,0.1111111111111111,0.0,8
271,1308,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
272,1309,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
273,1310,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
274,1311,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,5
275,1312,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
276,1316,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
277,1317,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.0555555555555555,0.0,8
278,1318,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
279,1319,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
280,1320,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
281,1321,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
282,1322,0.0,0.0,0.0,0.0,0,0,1,0.0,1,0,0.1111111111111111,0.0,2
283,1323,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
284,1324,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
285,1325,0.0,1.0,0.0,0.0,0,0,1,0.0,0,0,0.2222222222222222,0.0,4
287,1402,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
288,1404,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
